symbol,currency,currency_raw,close_local,close_usd,fx_to_usd,date,status,error
ALL.L,GBP,GBp,0.160000,0.210000,1.327986,2026-06-30,ok,
AMZN,USD,USD,241.700000,241.700000,1.000000,2026-07-01,ok,
ARA.TO,CAD,CAD,4.120000,2.900000,0.703354,2026-06-30,ok,
ARR.AX,AUD,AUD,0.380000,0.260000,0.689465,2026-07-01,ok,
ASCU.TO,CAD,CAD,8.060000,5.670000,0.703354,2026-06-29,ok,
ASTS,USD,USD,86.100000,86.100000,1.000000,2026-07-01,ok,
BEAM,USD,USD,33.480000,33.480000,1.000000,2026-07-01,ok,
BKSY,USD,USD,28.740000,28.740000,1.000000,2026-07-01,ok,
CDZI,USD,USD,4.080000,4.080000,1.000000,2026-07-01,ok,
COPX,USD,USD,75.290000,75.290000,1.000000,2026-07-01,ok,
CRSP,USD,USD,55.620000,55.620000,1.000000,2026-07-01,ok,
DNN,USD,USD,3.080000,3.080000,1.000000,2026-07-01,ok,
DYL.AX,AUD,AUD,1.450000,1.000000,0.689465,2026-07-01,ok,
FCU.TO,USD,USD,,,1.000000,,missing,HTTP Error 404: Not Found
GLO.TO,CAD,CAD,0.620000,0.440000,0.703354,2026-06-30,ok,
GOOGL,USD,USD,361.210000,361.210000,1.000000,2026-07-01,ok,
HYMC,USD,USD,23.070000,23.070000,1.000000,2026-07-01,ok,
IBM,USD,USD,286.250000,286.250000,1.000000,2026-07-01,ok,
ICG.CN,CAD,CAD,0.440000,0.310000,0.703354,2026-06-30,ok,
IVN.TO,CAD,CAD,11.110000,7.810000,0.703354,2026-06-30,ok,
JPM,USD,USD,334.070000,334.070000,1.000000,2026-07-01,ok,
KTOS,USD,USD,53.040000,53.040000,1.000000,2026-07-01,ok,
LAAC,USD,USD,,,1.000000,,missing,HTTP Error 404: Not Found
LAES,USD,USD,3.100000,3.100000,1.000000,2026-07-01,ok,
LYC.AX,AUD,AUD,18.090000,12.470000,0.689465,2026-07-01,ok,
MOS,USD,USD,21.300000,21.300000,1.000000,2026-07-01,ok,
MP,USD,USD,54.280000,54.280000,1.000000,2026-07-01,ok,
MSFT,USD,USD,384.280000,384.280000,1.000000,2026-07-01,ok,
NAUFF,USD,USD,1.490000,1.490000,1.000000,2026-07-01,ok,
NGEX.V,USD,USD,,,1.000000,,missing,HTTP Error 404: Not Found
NTDOY,USD,USD,10.750000,10.750000,1.000000,2026-07-01,ok,
NTR,USD,USD,63.570000,63.570000,1.000000,2026-07-01,ok,
NVDA,USD,USD,197.580000,197.580000,1.000000,2026-07-01,ok,
NXE,USD,USD,9.450000,9.450000,1.000000,2026-07-01,ok,
OKLO,USD,USD,52.450000,52.450000,1.000000,2026-07-01,ok,
PL,USD,USD,31.610000,31.610000,1.000000,2026-07-01,ok,
PLTR,USD,USD,125.730000,125.730000,1.000000,2026-07-01,ok,
PMET.V,USD,USD,,,1.000000,,missing,HTTP Error 404: Not Found
QBTS,USD,USD,23.500000,23.500000,1.000000,2026-07-01,ok,
RCAT,USD,USD,10.550000,10.550000,1.000000,2026-07-01,ok,
RGTI,USD,USD,18.680000,18.680000,1.000000,2026-07-01,ok,
RKLB,USD,USD,100.070000,100.070000,1.000000,2026-07-01,ok,
RTX,USD,USD,191.780000,191.780000,1.000000,2026-07-01,ok,
RXRX,USD,USD,3.670000,3.670000,1.000000,2026-07-01,ok,
SGML,USD,USD,12.410000,12.410000,1.000000,2026-07-01,ok,
SHLD,USD,USD,61.200000,61.200000,1.000000,2026-07-01,ok,
SLS.TO,CAD,CAD,11.930000,8.390000,0.703354,2026-06-30,ok,
SMR,USD,USD,10.150000,10.150000,1.000000,2026-07-01,ok,
URA,USD,USD,43.180000,43.180000,1.000000,2026-07-01,ok,
USGDF,USD,USD,0.110000,0.110000,1.000000,2026-07-01,ok,
UURAF,USD,USD,3.390000,3.390000,1.000000,2026-07-01,ok,
UUUU,USD,USD,14.220000,14.220000,1.000000,2026-07-01,ok,
XOVR,USD,USD,21.110000,21.110000,1.000000,2026-07-01,ok,
