symbol,close,currency,currency_raw,fx_to_usd,close_usd,date,url,error
ALL.L,0.16,GBP,GBp,1.327986,0.21,2026-06-30,https://query1.finance.yahoo.com/v8/finance/chart/ALL.L?period1=1781654400&period2=1783123200&interval=1d&events=history,
AMZN,241.70,USD,USD,1.000000,241.70,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/AMZN?period1=1781654400&period2=1783123200&interval=1d&events=history,
ARA.TO,4.12,CAD,CAD,0.703354,2.90,2026-06-30,https://query1.finance.yahoo.com/v8/finance/chart/ARA.TO?period1=1781654400&period2=1783123200&interval=1d&events=history,
ARR.AX,0.38,AUD,AUD,0.689465,0.26,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/ARR.AX?period1=1781654400&period2=1783123200&interval=1d&events=history,
ASCU.TO,8.06,CAD,CAD,0.703354,5.67,2026-06-29,https://query1.finance.yahoo.com/v8/finance/chart/ASCU.TO?period1=1781654400&period2=1783123200&interval=1d&events=history,
ASTS,86.10,USD,USD,1.000000,86.10,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/ASTS?period1=1781654400&period2=1783123200&interval=1d&events=history,
BEAM,33.48,USD,USD,1.000000,33.48,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/BEAM?period1=1781654400&period2=1783123200&interval=1d&events=history,
BKSY,28.74,USD,USD,1.000000,28.74,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/BKSY?period1=1781654400&period2=1783123200&interval=1d&events=history,
CDZI,4.08,USD,USD,1.000000,4.08,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/CDZI?period1=1781654400&period2=1783123200&interval=1d&events=history,
COPX,75.29,USD,USD,1.000000,75.29,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/COPX?period1=1781654400&period2=1783123200&interval=1d&events=history,
CRSP,55.62,USD,USD,1.000000,55.62,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/CRSP?period1=1781654400&period2=1783123200&interval=1d&events=history,
DNN,3.08,USD,USD,1.000000,3.08,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/DNN?period1=1781654400&period2=1783123200&interval=1d&events=history,
DYL.AX,1.45,AUD,AUD,0.689465,1.00,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/DYL.AX?period1=1781654400&period2=1783123200&interval=1d&events=history,
FCU.TO,,USD,,1.000000,,,https://query1.finance.yahoo.com/v8/finance/chart/FCU.TO?period1=1781654400&period2=1783123200&interval=1d&events=history,HTTP Error 404: Not Found
GLO.TO,0.62,CAD,CAD,0.703354,0.44,2026-06-30,https://query1.finance.yahoo.com/v8/finance/chart/GLO.TO?period1=1781654400&period2=1783123200&interval=1d&events=history,
GOOGL,361.21,USD,USD,1.000000,361.21,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/GOOGL?period1=1781654400&period2=1783123200&interval=1d&events=history,
HYMC,23.07,USD,USD,1.000000,23.07,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/HYMC?period1=1781654400&period2=1783123200&interval=1d&events=history,
IBM,286.25,USD,USD,1.000000,286.25,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/IBM?period1=1781654400&period2=1783123200&interval=1d&events=history,
ICG.CN,0.44,CAD,CAD,0.703354,0.31,2026-06-30,https://query1.finance.yahoo.com/v8/finance/chart/ICG.CN?period1=1781654400&period2=1783123200&interval=1d&events=history,
IVN.TO,11.11,CAD,CAD,0.703354,7.81,2026-06-30,https://query1.finance.yahoo.com/v8/finance/chart/IVN.TO?period1=1781654400&period2=1783123200&interval=1d&events=history,
JPM,334.07,USD,USD,1.000000,334.07,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/JPM?period1=1781654400&period2=1783123200&interval=1d&events=history,
KTOS,53.04,USD,USD,1.000000,53.04,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/KTOS?period1=1781654400&period2=1783123200&interval=1d&events=history,
LAAC,,USD,,1.000000,,,https://query1.finance.yahoo.com/v8/finance/chart/LAAC?period1=1781654400&period2=1783123200&interval=1d&events=history,HTTP Error 404: Not Found
LAES,3.10,USD,USD,1.000000,3.10,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/LAES?period1=1781654400&period2=1783123200&interval=1d&events=history,
LYC.AX,18.09,AUD,AUD,0.689465,12.47,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/LYC.AX?period1=1781654400&period2=1783123200&interval=1d&events=history,
MOS,21.30,USD,USD,1.000000,21.30,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/MOS?period1=1781654400&period2=1783123200&interval=1d&events=history,
MP,54.28,USD,USD,1.000000,54.28,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/MP?period1=1781654400&period2=1783123200&interval=1d&events=history,
MSFT,384.28,USD,USD,1.000000,384.28,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/MSFT?period1=1781654400&period2=1783123200&interval=1d&events=history,
NAUFF,1.49,USD,USD,1.000000,1.49,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/NAUFF?period1=1781654400&period2=1783123200&interval=1d&events=history,
NGEX.V,,USD,,1.000000,,,https://query1.finance.yahoo.com/v8/finance/chart/NGEX.V?period1=1781654400&period2=1783123200&interval=1d&events=history,HTTP Error 404: Not Found
NTDOY,10.75,USD,USD,1.000000,10.75,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/NTDOY?period1=1781654400&period2=1783123200&interval=1d&events=history,
NTR,63.57,USD,USD,1.000000,63.57,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/NTR?period1=1781654400&period2=1783123200&interval=1d&events=history,
NVDA,197.58,USD,USD,1.000000,197.58,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/NVDA?period1=1781654400&period2=1783123200&interval=1d&events=history,
NXE,9.45,USD,USD,1.000000,9.45,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/NXE?period1=1781654400&period2=1783123200&interval=1d&events=history,
OKLO,52.45,USD,USD,1.000000,52.45,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/OKLO?period1=1781654400&period2=1783123200&interval=1d&events=history,
PL,31.61,USD,USD,1.000000,31.61,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/PL?period1=1781654400&period2=1783123200&interval=1d&events=history,
PLTR,125.73,USD,USD,1.000000,125.73,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/PLTR?period1=1781654400&period2=1783123200&interval=1d&events=history,
PMET.V,,USD,,1.000000,,,https://query1.finance.yahoo.com/v8/finance/chart/PMET.V?period1=1781654400&period2=1783123200&interval=1d&events=history,HTTP Error 404: Not Found
QBTS,23.50,USD,USD,1.000000,23.50,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/QBTS?period1=1781654400&period2=1783123200&interval=1d&events=history,
RCAT,10.55,USD,USD,1.000000,10.55,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/RCAT?period1=1781654400&period2=1783123200&interval=1d&events=history,
RGTI,18.68,USD,USD,1.000000,18.68,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/RGTI?period1=1781654400&period2=1783123200&interval=1d&events=history,
RKLB,100.07,USD,USD,1.000000,100.07,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/RKLB?period1=1781654400&period2=1783123200&interval=1d&events=history,
RTX,191.78,USD,USD,1.000000,191.78,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/RTX?period1=1781654400&period2=1783123200&interval=1d&events=history,
RXRX,3.67,USD,USD,1.000000,3.67,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/RXRX?period1=1781654400&period2=1783123200&interval=1d&events=history,
SGML,12.41,USD,USD,1.000000,12.41,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/SGML?period1=1781654400&period2=1783123200&interval=1d&events=history,
SHLD,61.20,USD,USD,1.000000,61.20,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/SHLD?period1=1781654400&period2=1783123200&interval=1d&events=history,
SLS.TO,11.93,CAD,CAD,0.703354,8.39,2026-06-30,https://query1.finance.yahoo.com/v8/finance/chart/SLS.TO?period1=1781654400&period2=1783123200&interval=1d&events=history,
SMR,10.15,USD,USD,1.000000,10.15,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/SMR?period1=1781654400&period2=1783123200&interval=1d&events=history,
URA,43.18,USD,USD,1.000000,43.18,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/URA?period1=1781654400&period2=1783123200&interval=1d&events=history,
USGDF,0.11,USD,USD,1.000000,0.11,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/USGDF?period1=1781654400&period2=1783123200&interval=1d&events=history,
UURAF,3.39,USD,USD,1.000000,3.39,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/UURAF?period1=1781654400&period2=1783123200&interval=1d&events=history,
UUUU,14.22,USD,USD,1.000000,14.22,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/UUUU?period1=1781654400&period2=1783123200&interval=1d&events=history,
XOVR,21.11,USD,USD,1.000000,21.11,2026-07-01,https://query1.finance.yahoo.com/v8/finance/chart/XOVR?period1=1781654400&period2=1783123200&interval=1d&events=history,
