asset,target_weight_pct,target_value_usd,current_value_usd,trade_usd
Cash,8.0,"20,481.72","26,854.02","-6,372.30"
XOVR,4.0,"10,240.86","2,058.00","8,182.86"
ECOPET_BOND,3.0,"7,680.65","6,028.20","1,652.45"
AMZN,5.0,"12,801.08","13,063.00",-261.92
GOOGL,5.0,"12,801.08","9,409.25","3,391.83"
MSFT,6.0,"15,361.29","23,026.00","-7,664.71"
NVDA,8.0,"20,481.72","44,872.00","-24,390.28"
IBM,4.0,"10,240.86","32,042.00","-21,801.14"
JPM,6.0,"15,361.29","29,658.00","-14,296.71"
RTX,3.0,"7,680.65","5,232.30","2,448.35"
KTOS,4.0,"10,240.86","3,809.40","6,431.46"
SHLD,4.0,"10,240.86","9,843.00",397.86
URA,5.0,"12,801.08","5,054.00","7,747.08"
COPX,4.0,"10,240.86","9,006.00","1,234.86"
RKLB,6.0,"15,361.29","7,343.40","8,017.89"
ASTS,4.0,"10,240.86",0.00,"10,240.86"
NXE,4.0,"10,240.86",0.00,"10,240.86"
SMR,3.0,"7,680.65",0.00,"7,680.65"
ARR.AX,2.0,"5,120.43",0.00,"5,120.43"
MP,2.0,"5,120.43",0.00,"5,120.43"
UUUU,2.0,"5,120.43",0.00,"5,120.43"
SGML,2.0,"5,120.43",0.00,"5,120.43"
QBTS,2.0,"5,120.43","14,590.00","-9,469.57"
RGTI,1.5,"3,840.32","5,126.00","-1,285.68"
LAES,1.5,"3,840.32","3,550.00",290.32
NAUFF,1.0,"2,560.22","4,160.00","-1,599.78"
