name,symbol,yahoo,price_2026_06_01,price_usd,currency,currency_raw,fx_to_usd,target_dec_2026,target_dec_2026_usd,upside_to_target_pct,priority,category,thesis,source,price_error,price_date
American Rare Earths,ARR,ARR.AX,0.38,0.26,AUD,AUD,0.689465,0.54,0.37,45.0,alta,Rare earths,"top 5; terras raras EUA, geopolítica, muito risco",Análise top 5 / Stock Watch,,2026-07-01
AST SpaceMobile,ASTS,ASTS,86.10,86.10,USD,USD,1.000000,120.54,120.54,40.0,alta,Espaço,top 5; infraestrutura celular via satélite,Análise top 5 / Stock Watch,,2026-07-01
NexGen Energy,NXE,NXE,9.45,9.45,USD,USD,1.000000,12.28,12.28,30.0,alta,Urânio,top 5; ativo tier-1 em urânio,Análise top 5 / Stock Watch,,2026-07-01
Rocket Lab,RKLB,RKLB,100.07,100.07,USD,USD,1.000000,135.09,135.09,35.0,alta,Espaço/defesa,top 5; execução operacional,Análise top 5 / Stock Watch,,2026-07-01
NuScale Power,SMR,SMR,10.15,10.15,USD,USD,1.000000,13.19,13.19,30.0,alta,Nuclear SMR,top 5; opcionalidade em SMRs,Análise top 5 / Stock Watch,,2026-07-01
MP Materials,MP,MP,54.28,54.28,USD,USD,1.000000,65.14,65.14,20.0,media,Rare earths,produção de rare earths nos EUA; menor risco que ARR,Stock Watch,,2026-07-01
Lynas Rare Earths,LYC,LYC.AX,18.09,12.47,AUD,AUD,0.689465,20.80,14.34,15.0,media,Rare earths,cadeia ex-China em escala,Stock Watch,,2026-07-01
Ucore Rare Metals,Ucore,UURAF,3.39,3.39,USD,USD,1.000000,4.58,4.58,35.0,media,Rare earths,"refino/separação, similar a ARR",Stock Watch,,2026-07-01
Aclara Resources,Aclara,ARA.TO,4.12,2.90,CAD,CAD,0.703354,5.36,3.77,30.0,media,Rare earths,heavy rare earths com narrativa ESG,Stock Watch,,2026-06-30
Energy Fuels,UUUU,UUUU,14.22,14.22,USD,USD,1.000000,17.78,17.78,25.0,media,Urânio/rare earths,urânio + monazita + rare earths,Stock Watch,,2026-07-01
Denison Mines,DNN,DNN,3.08,3.08,USD,USD,1.000000,3.85,3.85,25.0,media,Urânio,ISR optionality no ciclo nuclear,Stock Watch,,2026-07-01
Global Atomic,GLO,GLO.TO,0.62,0.44,CAD,CAD,0.703354,0.81,0.57,30.0,baixa,Urânio,alto leverage com risco Níger,Stock Watch,,2026-06-30
Deep Yellow,DYL,DYL.AX,1.45,1.00,AUD,AUD,0.689465,1.74,1.20,20.0,media,Urânio,ciclo nuclear longo,Stock Watch,,2026-07-01
Fission Uranium,FCU,FCU.TO,,,USD,,1.000000,,,20.0,media,Urânio,Athabasca estratégico,Stock Watch,HTTP Error 404: Not Found,
Ivanhoe Mines,IVN,IVN.TO,11.11,7.81,CAD,CAD,0.703354,13.11,9.22,18.0,media,Cobre,opcionalidade global em cobre,Stock Watch,,2026-06-30
Solaris Resources,SLS,SLS.TO,11.93,8.39,CAD,CAD,0.703354,14.91,10.49,25.0,baixa,Cobre,exploração de cobre; alto risco,Stock Watch,,2026-06-30
Arizona Sonoran Copper,ASCU,ASCU.TO,8.06,5.67,CAD,CAD,0.703354,9.67,6.80,20.0,baixa,Cobre,cobre doméstico americano,Stock Watch,,2026-06-29
NGEx Minerals,NGEX,NGEX.V,,,USD,,1.000000,,,30.0,baixa,Cobre,altíssimo risco/recompensa,Stock Watch,HTTP Error 404: Not Found,
Sigma Lithium,SGML,SGML,12.41,12.41,USD,USD,1.000000,15.51,15.51,25.0,media,Lítio,Brasil + ESG + spodumene,Stock Watch,,2026-07-01
Patriot Battery Metals,PMET,PMET.V,,,USD,,1.000000,,,25.0,baixa,Lítio,opcionalidade canadense,Stock Watch,HTTP Error 404: Not Found,
Atlantic Lithium,ALL,ALL.L,0.16,0.21,GBP,GBp,1.327986,0.19,0.25,20.0,baixa,Lítio,Gana + opcionalidade africana,Stock Watch,,2026-06-30
Lithium Argentina,LAAC,LAAC,,,USD,,1.000000,,,18.0,baixa,Lítio,ex-Lithium Americas Argentina,Stock Watch,HTTP Error 404: Not Found,
Kratos,KTOS,KTOS,53.04,53.04,USD,USD,1.000000,62.59,62.59,18.0,media,Defesa,drones e sistemas autônomos,Stock Watch,,2026-07-01
Palantir,PLTR,PLTR,125.73,125.73,USD,USD,1.000000,140.82,140.82,12.0,media,IA/defesa,IA militar/inteligência; valuation alto,Stock Watch,,2026-07-01
Red Cat,RCAT,RCAT,10.55,10.55,USD,USD,1.000000,14.24,14.24,35.0,baixa,Defesa drones,microcap em drones militares,Stock Watch,,2026-07-01
BlackSky,BKSY,BKSY,28.74,28.74,USD,USD,1.000000,35.92,35.92,25.0,baixa,Espaço,imagens em tempo real,Stock Watch,,2026-07-01
Planet Labs,PL,PL,31.61,31.61,USD,USD,1.000000,38.56,38.56,22.0,baixa,Espaço/dados,dados orbitais + IA,Stock Watch,,2026-07-01
Recursion,RXRX,RXRX,3.67,3.67,USD,USD,1.000000,4.59,4.59,25.0,baixa,AI biotech,drug discovery + IA,Stock Watch,,2026-07-01
Beam Therapeutics,BEAM,BEAM,33.48,33.48,USD,USD,1.000000,41.85,41.85,25.0,baixa,Biotech,base editing,Stock Watch,,2026-07-01
CRISPR Therapeutics,CRSP,CRSP,55.62,55.62,USD,USD,1.000000,66.74,66.74,20.0,baixa,Biotech,gene editing com opcionalidade,Stock Watch,,2026-07-01
Oklo,OKLO,OKLO,52.45,52.45,USD,USD,1.000000,65.56,65.56,25.0,media,Nuclear,microreatores + IA/energia,Stock Watch,,2026-07-01
Cadiz,CDZI,CDZI,4.08,4.08,USD,USD,1.000000,4.69,4.69,15.0,baixa,Água,escassez hídrica,Stock Watch,,2026-07-01
Nutrien,NTR,NTR,63.57,63.57,USD,USD,1.000000,68.66,68.66,8.0,media,Agricultura,potássio/fertilizantes estratégicos,Stock Watch,,2026-07-01
Mosaic,MOS,MOS,21.30,21.30,USD,USD,1.000000,23.00,23.00,8.0,media,Agricultura,segurança alimentar global,Stock Watch,,2026-07-01
